key,label,suggested_label,rule_label,ml_confidence,reason,source_file,visual_id,instance,plist,die_id,vmin_found,num_rows,num_cols,total_fail_ratio,top_fail_ratio,bot_fail_ratio,left_fail_ratio,right_fail_ratio,center_fail_ratio,edge_fail_ratio,left_edge_fail_ratio,right_edge_fail_ratio,center_band_fail_ratio,q_tl_ratio,q_tr_ratio,q_bl_ratio,q_br_ratio,is_diagonal,isolated_fail_ratio,largest_cluster_ratio,avg_row_transitions,max_row_transitions,num_rows,num_cols,vertical_symmetry,horizontal_symmetry,vertical_gradient,horizontal_gradient,boundary_monotonicity,boundary_spread,aspect_ratio,fail_row_fraction,fail_col_fraction
D54K6E5600330_25ww23p3_shmoo_cwf_IO_chk_f2_rep.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_SSN_CFCIO_X_X_X_X_IO_NORTH|reset_Mscn_stf200_IO_SSN_global_scan|0,floor,floor,diagonal,0.4300,low_confidence+rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\D54K6E5600330_25ww23p3_shmoo_cwf_IO_chk_f2_rep.txt,,SHMOO_X_SHMOO_E_BEGIN_SSN_CFCIO_X_X_X_X_IO_NORTH,reset_Mscn_stf200_IO_SSN_global_scan,U1,Vmin Found: 0.620V,21,5,0.4095,0.2,0.64,0.6429,0.254,0.0606,0.5694,1,0.2381,0.2698,0.5,0,0.8,0.5333,1,0.0233,1,0.7619,1,21,5,0.581,0.6762,-0.44,-0.3889,1,0.4,0.2381,1,1
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D63U4E2300008|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.7294,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D63U4E2300008,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4646,0.4646,0,0.9365,0,0.4308,0.5,1,0,0.3953,0.9365,0,0,0,0,0.0339,1,1,1,1,127,1,0.0709,0.4646,-0.9365,0,0,127,1,0.4646
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5KY222800060|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.7338,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D5KY222800060,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.5512,0.5512,0,1,0.1094,0.6,0.5,1,0,0.6512,1,0.1094,0,0,0,0.0286,1,1,1,1,127,1,0.1024,0.5512,-0.8906,0,0,127,1,0.5512
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6HH377700208|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.7546,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf,D6HH377700208,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.5118,0.5118,0,1,0.0312,0.5231,0.5,1,0,0.5349,1,0.0312,0,0,0,0.0308,1,1,1,1,127,1,0.0236,0.5118,-0.9688,0,0,127,1,0.5118
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5KY222800060|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.7546,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D5KY222800060,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.5118,0.5118,0,1,0.0312,0.5231,0.5,1,0,0.5349,1,0.0312,0,0,0,0.0308,1,1,1,1,127,1,0.0236,0.5118,-0.9688,0,0,127,1,0.5118
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D6FS873401080|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.7546,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D6FS873401080,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.5118,0.5118,0,1,0.0312,0.5231,0.5,1,0,0.5349,1,0.0312,0,0,0,0.0308,1,1,1,1,127,1,0.0236,0.5118,-0.9688,0,0,127,1,0.5118
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5FW211500015|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.7593,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D5FW211500015,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.5354,0.5354,0,1,0.0781,0.5692,0.5,1,0,0.6047,1,0.0781,0,0,0,0.0294,1,1,1,1,127,1,0.0709,0.5354,-0.9219,0,0,127,1,0.5354
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D6FS873401080|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.7616,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D6FS873401080,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,128,0.5312,0.5312,0,0.9844,0.0781,0.5781,0.4844,0.9762,0,0.6136,0.9844,0.0781,0,0,0,0.0588,0.9706,4,4,1,128,1,0.0938,0.5312,-0.9062,0,0,128,1,0.5312
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D51WH87200131|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.7760,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D51WH87200131,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4724,0.4724,0,0.9524,0,0.4462,0.5,1,0,0.4186,0.9524,0,0,0,0,0.0333,1,1,1,1,127,1,0.0551,0.4724,-0.9524,0,0,127,1,0.4724
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6HH377700208|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.7807,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf,D6HH377700208,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,128,0.5156,0.5156,0,0.9844,0.0469,0.5469,0.4844,0.9762,0,0.5682,0.9844,0.0469,0,0,0,0.0303,1,2,2,1,128,1,0.0625,0.5156,-0.9375,0,0,128,1,0.5156
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D6FN374300110|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.8043,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D6FN374300110,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,128,0.5547,0.5547,0,0.9844,0.125,0.625,0.4844,0.9762,0,0.6818,0.9844,0.125,0,0,0,0.0282,1,2,2,1,128,1,0.1406,0.5547,-0.8594,0,0,128,1,0.5547
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6HH377700208|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.8346,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf,D6HH377700208,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4488,0.4488,0,0.9048,0,0.4,0.5,1,0,0.3488,0.9048,0,0,0,0,0.0351,1,1,1,1,127,1,0.1024,0.4488,-0.9048,0,0,127,1,0.4488
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5KY222800060|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.8346,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D5KY222800060,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4488,0.4488,0,0.9048,0,0.4,0.5,1,0,0.3488,0.9048,0,0,0,0,0.0351,1,1,1,1,127,1,0.1024,0.4488,-0.9048,0,0,127,1,0.4488
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D6FN374300110|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.8346,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D6FN374300110,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_C_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4488,0.4488,0,0.9048,0,0.4,0.5,1,0,0.3488,0.9048,0,0,0,0,0.0351,1,1,1,1,127,1,0.1024,0.4488,-0.9048,0,0,127,1,0.4488
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D63K3U5800077|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.8346,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D63K3U5800077,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4488,0.4488,0,0.9048,0,0.4,0.5,1,0,0.3488,0.9048,0,0,0,0,0.0351,1,1,1,1,127,1,0.1024,0.4488,-0.9048,0,0,127,1,0.4488
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D63K3U5800077|PCS_STIM_AP_HFE_OUT_Temp_Mean||0,unknown,unknown,slow_limit,0.8351,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D63K3U5800077,PCS_STIM_AP_HFE_OUT_Temp_Mean,,,Vmin Found: 0.000V,1,128,0.5938,0.5938,0,0.9844,0.2031,0.7031,0.4844,0.9762,0,0.7955,0.9844,0.2031,0,0,0,0.0263,1,2,2,1,128,1,0.2188,0.5938,-0.7812,0,0,128,1,0.5938
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D51WH87200131|TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF|scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list|0,speed_limit,speed_limit,floor,0.8600,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D51WH87200131,TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF,scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list,,Vmin Found: 0.510V,21,12,0.4802,0.1439,0.85,0.3333,0.627,0.4394,0.4946,0.2976,0.6667,0.4762,0,0.2879,0.7,1,0,0,1,0.5714,2,21,12,0.2937,0.7063,-0.7061,0.2937,1,0.1667,0.5714,0.7619,1
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D63K3U5800077|TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF|scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list|0,speed_limit,speed_limit,floor,0.8933,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D63K3U5800077,TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF,scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list,,Vmin Found: 0.520V,21,12,0.5714,0.2879,0.8833,0.373,0.7698,0.6212,0.5538,0.3095,0.8452,0.5595,0.0152,0.5606,0.7667,1,0,0.0069,1,0.7143,1,21,12,0.4048,0.6032,-0.5955,0.3968,1,0,0.5714,0.9524,1
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D6EY561600014|PCS_STIM_AP_HFE_OUT_Temp_Mean||0,unknown,unknown,left wall,0.9073,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D6EY561600014,PCS_STIM_AP_HFE_OUT_Temp_Mean,,,Vmin Found: 0.000V,1,128,0.5156,0.5156,0,0.9844,0.0469,0.5469,0.4844,0.9762,0,0.5682,0.9844,0.0469,0,0,0,0.0455,0.9848,4,4,1,128,1,0.0625,0.5156,-0.9375,0,0,128,1,0.5156
